Entity,Code,Year,Which countries include the inactivated polio vaccine (IPV) in their national vaccination programs?
Cambodia,KHM,1973,Not routinely administered
Cambodia,KHM,1974,Not routinely administered
Cambodia,KHM,1975,Not routinely administered
Cambodia,KHM,1976,Not routinely administered
Cambodia,KHM,1977,Not routinely administered
Cambodia,KHM,1978,Not routinely administered
Cambodia,KHM,1979,Not routinely administered
Cambodia,KHM,1980,Not routinely administered
Cambodia,KHM,1981,Not routinely administered
Cambodia,KHM,1982,Not routinely administered
Cambodia,KHM,1983,Not routinely administered
Cambodia,KHM,1984,Not routinely administered
Cambodia,KHM,1985,Not routinely administered
Cambodia,KHM,1986,Not routinely administered
Cambodia,KHM,1987,Not routinely administered
Cambodia,KHM,1988,Not routinely administered
Cambodia,KHM,1989,Not routinely administered
Cambodia,KHM,1990,Not routinely administered
Cambodia,KHM,1991,Not routinely administered
Cambodia,KHM,1992,Not routinely administered
Cambodia,KHM,1993,Not routinely administered
Cambodia,KHM,1994,Not routinely administered
Cambodia,KHM,1995,Not routinely administered
Cambodia,KHM,1996,Not routinely administered
Cambodia,KHM,1997,Not routinely administered
Cambodia,KHM,1998,Not routinely administered
Cambodia,KHM,1999,Not routinely administered
Cambodia,KHM,2000,Not routinely administered
Cambodia,KHM,2001,Not routinely administered
Cambodia,KHM,2002,Not routinely administered
Cambodia,KHM,2003,Not routinely administered
Cambodia,KHM,2004,Not routinely administered
Cambodia,KHM,2005,Not routinely administered
Cambodia,KHM,2006,Not routinely administered
Cambodia,KHM,2007,Not routinely administered
Cambodia,KHM,2008,Not routinely administered
Cambodia,KHM,2009,Not routinely administered
Cambodia,KHM,2010,Not routinely administered
Cambodia,KHM,2011,Not routinely administered
Cambodia,KHM,2012,Not routinely administered
Cambodia,KHM,2013,Not routinely administered
Cambodia,KHM,2014,Not routinely administered
Cambodia,KHM,2015,Entire country
Cambodia,KHM,2016,Entire country
Cambodia,KHM,2017,Entire country
Cambodia,KHM,2018,Entire country
Cambodia,KHM,2019,Entire country
Cambodia,KHM,2020,Entire country
Cambodia,KHM,2021,Entire country
Cambodia,KHM,2022,Entire country
Cambodia,KHM,2023,Entire country
Cambodia,KHM,2024,Entire country
Cameroon,CMR,1955,Not routinely administered
Cameroon,CMR,1956,Not routinely administered
Cameroon,CMR,1957,Not routinely administered
Cameroon,CMR,1958,Not routinely administered
Cameroon,CMR,1959,Not routinely administered
Cameroon,CMR,1960,Not routinely administered
Cameroon,CMR,1961,Not routinely administered
Cameroon,CMR,1962,Not routinely administered
Cameroon,CMR,1963,Not routinely administered
Cameroon,CMR,1964,Not routinely administered
Cameroon,CMR,1965,Not routinely administered
Cameroon,CMR,1966,Not routinely administered
Cameroon,CMR,1967,Not routinely administered
Cameroon,CMR,1968,Not routinely administered
Cameroon,CMR,1969,Not routinely administered
Cameroon,CMR,1970,Not routinely administered
Cameroon,CMR,1971,Not routinely administered
Cameroon,CMR,1972,Not routinely administered
Cameroon,CMR,1973,Not routinely administered
Cameroon,CMR,1974,Not routinely administered
Cameroon,CMR,1975,Not routinely administered
Cameroon,CMR,1976,Not routinely administered
Cameroon,CMR,1977,Not routinely administered
Cameroon,CMR,1978,Not routinely administered
Cameroon,CMR,1979,Not routinely administered
Cameroon,CMR,1980,Not routinely administered
Cameroon,CMR,1981,Not routinely administered
Cameroon,CMR,1982,Not routinely administered
Cameroon,CMR,1983,Not routinely administered
Cameroon,CMR,1984,Not routinely administered
Cameroon,CMR,1985,Not routinely administered
Cameroon,CMR,1986,Not routinely administered
Cameroon,CMR,1987,Not routinely administered
Cameroon,CMR,1988,Not routinely administered
Cameroon,CMR,1989,Not routinely administered
Cameroon,CMR,1990,Not routinely administered
Cameroon,CMR,1991,Not routinely administered
Cameroon,CMR,1992,Not routinely administered
Cameroon,CMR,1993,Not routinely administered
Cameroon,CMR,1994,Not routinely administered
Cameroon,CMR,1995,Not routinely administered
Cameroon,CMR,1996,Not routinely administered
Cameroon,CMR,1997,Not routinely administered
Cameroon,CMR,1998,Not routinely administered
Cameroon,CMR,1999,Not routinely administered
Cameroon,CMR,2000,Not routinely administered
Cameroon,CMR,2001,Not routinely administered
Cameroon,CMR,2002,Not routinely administered
Cameroon,CMR,2003,Not routinely administered
Cameroon,CMR,2004,Not routinely administered
Cameroon,CMR,2005,Not routinely administered
Cameroon,CMR,2006,Not routinely administered
Cameroon,CMR,2007,Not routinely administered
Cameroon,CMR,2008,Not routinely administered
Cameroon,CMR,2009,Not routinely administered
Cameroon,CMR,2010,Not routinely administered
Cameroon,CMR,2011,Not routinely administered
Cameroon,CMR,2012,Not routinely administered
Cameroon,CMR,2013,Not routinely administered
Cameroon,CMR,2014,Not routinely administered
Cameroon,CMR,2015,Entire country
Cameroon,CMR,2016,Entire country
Cameroon,CMR,2017,Entire country
Cameroon,CMR,2018,Entire country
Cameroon,CMR,2019,Entire country
Cameroon,CMR,2020,Entire country
Cameroon,CMR,2021,Entire country
Cameroon,CMR,2022,Entire country
Cameroon,CMR,2023,Entire country
Cameroon,CMR,2024,Entire country
Canada,CAN,1955,Entire country
Canada,CAN,1956,Entire country
Canada,CAN,1957,Entire country
Canada,CAN,1958,Entire country
Canada,CAN,1959,Entire country
Canada,CAN,1960,Entire country
Canada,CAN,1961,Entire country
Canada,CAN,1962,Entire country
Canada,CAN,1963,Entire country
Canada,CAN,1964,Entire country
Canada,CAN,1965,Entire country
Canada,CAN,1966,Entire country
Canada,CAN,1967,Entire country
Canada,CAN,1968,Entire country
Canada,CAN,1969,Entire country
Canada,CAN,1970,Entire country
Canada,CAN,1971,Entire country
Canada,CAN,1972,Entire country
Canada,CAN,1973,Entire country
Canada,CAN,1974,Entire country
Canada,CAN,1975,Entire country
Canada,CAN,1976,Entire country
Canada,CAN,1977,Entire country
Canada,CAN,1978,Entire country
Canada,CAN,1979,Entire country
Canada,CAN,1980,Entire country
Canada,CAN,1981,Entire country
Canada,CAN,1982,Entire country
Canada,CAN,1983,Entire country
Canada,CAN,1984,Entire country
Canada,CAN,1985,Entire country
Canada,CAN,1986,Entire country
Canada,CAN,1987,Entire country
Canada,CAN,1988,Entire country
Canada,CAN,1989,Entire country
Canada,CAN,1990,Entire country
Canada,CAN,1991,Entire country
Canada,CAN,1992,Entire country
Canada,CAN,1993,Entire country
Canada,CAN,1994,Entire country
Canada,CAN,1995,Entire country
Canada,CAN,1996,Entire country
Canada,CAN,1997,Entire country
Canada,CAN,1998,Entire country
Canada,CAN,1999,Entire country
Canada,CAN,2000,Entire country
Canada,CAN,2001,Entire country
Canada,CAN,2002,Entire country
Canada,CAN,2003,Entire country
Canada,CAN,2004,Entire country
Canada,CAN,2005,Entire country
Canada,CAN,2006,Entire country
Canada,CAN,2007,Entire country
Canada,CAN,2008,Entire country
Canada,CAN,2009,Entire country
Canada,CAN,2010,Entire country
Canada,CAN,2011,Entire country
Canada,CAN,2012,Entire country
Canada,CAN,2013,Entire country
Canada,CAN,2014,Entire country
Canada,CAN,2015,Entire country
Canada,CAN,2016,Entire country
Canada,CAN,2017,Entire country
Canada,CAN,2018,Entire country
Canada,CAN,2019,Entire country
Canada,CAN,2020,Entire country
Canada,CAN,2021,Entire country
Canada,CAN,2022,Entire country
Canada,CAN,2023,Entire country
Canada,CAN,2024,Entire country
Cape Verde,CPV,1955,Not routinely administered
Cape Verde,CPV,1956,Not routinely administered
Cape Verde,CPV,1957,Not routinely administered
Cape Verde,CPV,1958,Not routinely administered
Cape Verde,CPV,1959,Not routinely administered
Cape Verde,CPV,1960,Not routinely administered
Cape Verde,CPV,1961,Not routinely administered
Cape Verde,CPV,1962,Not routinely administered
Cape Verde,CPV,1963,Not routinely administered
Cape Verde,CPV,1964,Not routinely administered
Cape Verde,CPV,1965,Not routinely administered
Cape Verde,CPV,1966,Not routinely administered
Cape Verde,CPV,1967,Not routinely administered
Cape Verde,CPV,1968,Not routinely administered
Cape Verde,CPV,1969,Not routinely administered
Cape Verde,CPV,1970,Not routinely administered
Cape Verde,CPV,1971,Not routinely administered
Cape Verde,CPV,1972,Not routinely administered
Cape Verde,CPV,1973,Not routinely administered
Cape Verde,CPV,1974,Not routinely administered
Cape Verde,CPV,1975,Not routinely administered
Cape Verde,CPV,1976,Not routinely administered
Cape Verde,CPV,1977,Not routinely administered
Cape Verde,CPV,1978,Not routinely administered
Cape Verde,CPV,1979,Not routinely administered
Cape Verde,CPV,1980,Not routinely administered
Cape Verde,CPV,1981,Not routinely administered
Cape Verde,CPV,1982,Not routinely administered
Cape Verde,CPV,1983,Not routinely administered
Cape Verde,CPV,1984,Not routinely administered
Cape Verde,CPV,1985,Not routinely administered
Cape Verde,CPV,1986,Not routinely administered
Cape Verde,CPV,1987,Not routinely administered
Cape Verde,CPV,1988,Not routinely administered
Cape Verde,CPV,1989,Not routinely administered
Cape Verde,CPV,1990,Not routinely administered
Cape Verde,CPV,1991,Not routinely administered
Cape Verde,CPV,1992,Not routinely administered
Cape Verde,CPV,1993,Not routinely administered
Cape Verde,CPV,1994,Not routinely administered
Cape Verde,CPV,1995,Not routinely administered
Cape Verde,CPV,1996,Not routinely administered
Cape Verde,CPV,1997,Not routinely administered
Cape Verde,CPV,1998,Not routinely administered
Cape Verde,CPV,1999,Not routinely administered
Cape Verde,CPV,2000,Not routinely administered
Cape Verde,CPV,2001,Not routinely administered
Cape Verde,CPV,2002,Not routinely administered
Cape Verde,CPV,2003,Not routinely administered
Cape Verde,CPV,2004,Not routinely administered
Cape Verde,CPV,2005,Not routinely administered
Cape Verde,CPV,2006,Not routinely administered
Cape Verde,CPV,2007,Not routinely administered
Cape Verde,CPV,2008,Not routinely administered
Cape Verde,CPV,2009,Not routinely administered
Cape Verde,CPV,2010,Not routinely administered
Cape Verde,CPV,2011,Not routinely administered
Cape Verde,CPV,2012,Not routinely administered
Cape Verde,CPV,2013,Not routinely administered
Cape Verde,CPV,2014,Not routinely administered
Cape Verde,CPV,2015,Not routinely administered
Cape Verde,CPV,2016,Not routinely administered
Cape Verde,CPV,2017,Entire country
Cape Verde,CPV,2018,Entire country
Cape Verde,CPV,2019,Entire country
Cape Verde,CPV,2020,Entire country
Cape Verde,CPV,2021,Entire country
Cape Verde,CPV,2022,Entire country
Cape Verde,CPV,2023,Entire country
Cape Verde,CPV,2024,Entire country
Central African Republic,CAF,1955,Not routinely administered
Central African Republic,CAF,1956,Not routinely administered
Central African Republic,CAF,1957,Not routinely administered
Central African Republic,CAF,1958,Not routinely administered
Central African Republic,CAF,1959,Not routinely administered
Central African Republic,CAF,1960,Not routinely administered
Central African Republic,CAF,1961,Not routinely administered
Central African Republic,CAF,1962,Not routinely administered
Central African Republic,CAF,1963,Not routinely administered
Central African Republic,CAF,1964,Not routinely administered
Central African Republic,CAF,1965,Not routinely administered
Central African Republic,CAF,1966,Not routinely administered
Central African Republic,CAF,1967,Not routinely administered
Central African Republic,CAF,1968,Not routinely administered
Central African Republic,CAF,1969,Not routinely administered
Central African Republic,CAF,1970,Not routinely administered
Central African Republic,CAF,1971,Not routinely administered
Central African Republic,CAF,1972,Not routinely administered
Central African Republic,CAF,1973,Not routinely administered
Central African Republic,CAF,1974,Not routinely administered
Central African Republic,CAF,1975,Not routinely administered
Central African Republic,CAF,1976,Not routinely administered
Central African Republic,CAF,1977,Not routinely administered
Central African Republic,CAF,1978,Not routinely administered
Central African Republic,CAF,1979,Not routinely administered
Central African Republic,CAF,1980,Not routinely administered
Central African Republic,CAF,1981,Not routinely administered
Central African Republic,CAF,1982,Not routinely administered
Central African Republic,CAF,1983,Not routinely administered
Central African Republic,CAF,1984,Not routinely administered
Central African Republic,CAF,1985,Not routinely administered
Central African Republic,CAF,1986,Not routinely administered
Central African Republic,CAF,1987,Not routinely administered
Central African Republic,CAF,1988,Not routinely administered
Central African Republic,CAF,1989,Not routinely administered
Central African Republic,CAF,1990,Not routinely administered
Central African Republic,CAF,1991,Not routinely administered
Central African Republic,CAF,1992,Not routinely administered
Central African Republic,CAF,1993,Not routinely administered
Central African Republic,CAF,1994,Not routinely administered
Central African Republic,CAF,1995,Not routinely administered
Central African Republic,CAF,1996,Not routinely administered
Central African Republic,CAF,1997,Not routinely administered
Central African Republic,CAF,1998,Not routinely administered
Central African Republic,CAF,1999,Not routinely administered
Central African Republic,CAF,2000,Not routinely administered
Central African Republic,CAF,2001,Not routinely administered
Central African Republic,CAF,2002,Not routinely administered
Central African Republic,CAF,2003,Not routinely administered
Central African Republic,CAF,2004,Not routinely administered
Central African Republic,CAF,2005,Not routinely administered
Central African Republic,CAF,2006,Not routinely administered
Central African Republic,CAF,2007,Not routinely administered
Central African Republic,CAF,2008,Not routinely administered
Central African Republic,CAF,2009,Not routinely administered
Central African Republic,CAF,2010,Not routinely administered
Central African Republic,CAF,2011,Not routinely administered
Central African Republic,CAF,2012,Not routinely administered
Central African Republic,CAF,2013,Not routinely administered
Central African Republic,CAF,2014,Not routinely administered
Central African Republic,CAF,2015,Entire country
Central African Republic,CAF,2016,Entire country
Central African Republic,CAF,2017,Entire country
Central African Republic,CAF,2018,Entire country
Central African Republic,CAF,2019,Entire country
Central African Republic,CAF,2020,Entire country
Central African Republic,CAF,2021,Entire country
Central African Republic,CAF,2022,Entire country
Central African Republic,CAF,2023,Entire country
Central African Republic,CAF,2024,Entire country
Chad,TCD,1955,Not routinely administered
Chad,TCD,1956,Not routinely administered
Chad,TCD,1957,Not routinely administered
Chad,TCD,1958,Not routinely administered
Chad,TCD,1959,Not routinely administered
Chad,TCD,1960,Not routinely administered
Chad,TCD,1961,Not routinely administered
Chad,TCD,1962,Not routinely administered
Chad,TCD,1963,Not routinely administered
Chad,TCD,1964,Not routinely administered
Chad,TCD,1965,Not routinely administered
Chad,TCD,1966,Not routinely administered
Chad,TCD,1967,Not routinely administered
Chad,TCD,1968,Not routinely administered
Chad,TCD,1969,Not routinely administered
Chad,TCD,1970,Not routinely administered
Chad,TCD,1971,Not routinely administered
Chad,TCD,1972,Not routinely administered
Chad,TCD,1973,Not routinely administered
Chad,TCD,1974,Not routinely administered
Chad,TCD,1975,Not routinely administered
Chad,TCD,1976,Not routinely administered
Chad,TCD,1977,Not routinely administered
Chad,TCD,1978,Not routinely administered
Chad,TCD,1979,Not routinely administered
Chad,TCD,1980,Not routinely administered
Chad,TCD,1981,Not routinely administered
Chad,TCD,1982,Not routinely administered
Chad,TCD,1983,Not routinely administered
Chad,TCD,1984,Not routinely administered
Chad,TCD,1985,Not routinely administered
Chad,TCD,1986,Not routinely administered
Chad,TCD,1987,Not routinely administered
Chad,TCD,1988,Not routinely administered
Chad,TCD,1989,Not routinely administered
Chad,TCD,1990,Not routinely administered
Chad,TCD,1991,Not routinely administered
Chad,TCD,1992,Not routinely administered
Chad,TCD,1993,Not routinely administered
Chad,TCD,1994,Not routinely administered
Chad,TCD,1995,Not routinely administered
Chad,TCD,1996,Not routinely administered
Chad,TCD,1997,Not routinely administered
Chad,TCD,1998,Not routinely administered
Chad,TCD,1999,Not routinely administered
Chad,TCD,2000,Not routinely administered
Chad,TCD,2001,Not routinely administered
Chad,TCD,2002,Not routinely administered
Chad,TCD,2003,Not routinely administered
Chad,TCD,2004,Not routinely administered
Chad,TCD,2005,Not routinely administered
Chad,TCD,2006,Not routinely administered
Chad,TCD,2007,Not routinely administered
Chad,TCD,2008,Not routinely administered
Chad,TCD,2009,Not routinely administered
Chad,TCD,2010,Not routinely administered
Chad,TCD,2011,Not routinely administered
Chad,TCD,2012,Not routinely administered
Chad,TCD,2013,Not routinely administered
Chad,TCD,2014,Not routinely administered
Chad,TCD,2015,Entire country
Chad,TCD,2016,Entire country
Chad,TCD,2017,Entire country
Chad,TCD,2018,Entire country
Chad,TCD,2019,Entire country
Chad,TCD,2020,Entire country
Chad,TCD,2021,Entire country
Chad,TCD,2022,Entire country
Chad,TCD,2023,Entire country
Chad,TCD,2024,Entire country
Chile,CHL,1955,Not routinely administered
Chile,CHL,1956,Not routinely administered
Chile,CHL,1957,Not routinely administered
Chile,CHL,1958,Not routinely administered
Chile,CHL,1959,Not routinely administered
Chile,CHL,1960,Not routinely administered
Chile,CHL,1961,Not routinely administered
Chile,CHL,1962,Not routinely administered
Chile,CHL,1963,Not routinely administered
Chile,CHL,1964,Not routinely administered
Chile,CHL,1965,Not routinely administered
Chile,CHL,1966,Not routinely administered
Chile,CHL,1967,Not routinely administered
Chile,CHL,1968,Not routinely administered
Chile,CHL,1969,Not routinely administered
Chile,CHL,1970,Not routinely administered
Chile,CHL,1971,Not routinely administered
Chile,CHL,1972,Not routinely administered
Chile,CHL,1973,Not routinely administered
Chile,CHL,1974,Not routinely administered
Chile,CHL,1975,Not routinely administered
Chile,CHL,1976,Not routinely administered
Chile,CHL,1977,Not routinely administered
Chile,CHL,1978,Not routinely administered
Chile,CHL,1979,Not routinely administered
Chile,CHL,1980,Not routinely administered
Chile,CHL,1981,Not routinely administered
Chile,CHL,1982,Not routinely administered
Chile,CHL,1983,Not routinely administered
Chile,CHL,1984,Not routinely administered
Chile,CHL,1985,Not routinely administered
Chile,CHL,1986,Not routinely administered
Chile,CHL,1987,Not routinely administered
Chile,CHL,1988,Not routinely administered
Chile,CHL,1989,Not routinely administered
Chile,CHL,1990,Not routinely administered
Chile,CHL,1991,Not routinely administered
Chile,CHL,1992,Not routinely administered
Chile,CHL,1993,Not routinely administered
Chile,CHL,1994,Not routinely administered
Chile,CHL,1995,Not routinely administered
Chile,CHL,1996,Not routinely administered
Chile,CHL,1997,Not routinely administered
Chile,CHL,1998,Not routinely administered
Chile,CHL,1999,Not routinely administered
Chile,CHL,2000,Not routinely administered
Chile,CHL,2001,Not routinely administered
Chile,CHL,2002,Not routinely administered
Chile,CHL,2003,Not routinely administered
Chile,CHL,2004,Not routinely administered
Chile,CHL,2005,Not routinely administered
Chile,CHL,2006,Not routinely administered
Chile,CHL,2007,Not routinely administered
Chile,CHL,2008,Not routinely administered
Chile,CHL,2009,Not routinely administered
Chile,CHL,2010,Not routinely administered
Chile,CHL,2011,Not routinely administered
Chile,CHL,2012,Not routinely administered
Chile,CHL,2013,Not routinely administered
Chile,CHL,2014,Not routinely administered
Chile,CHL,2015,Not routinely administered
Chile,CHL,2016,Entire country
Chile,CHL,2017,Entire country
Chile,CHL,2018,Entire country
Chile,CHL,2019,Entire country
Chile,CHL,2020,Entire country
Chile,CHL,2021,Entire country
Chile,CHL,2022,Entire country
Chile,CHL,2023,Entire country
Chile,CHL,2024,Entire country
China,CHN,1955,Not routinely administered
China,CHN,1956,Not routinely administered
China,CHN,1957,Not routinely administered
China,CHN,1958,Not routinely administered
China,CHN,1959,Not routinely administered
China,CHN,1960,Not routinely administered
China,CHN,1961,Not routinely administered
China,CHN,1962,Not routinely administered
China,CHN,1963,Not routinely administered
China,CHN,1964,Not routinely administered
China,CHN,1965,Not routinely administered
China,CHN,1966,Not routinely administered
China,CHN,1967,Not routinely administered
China,CHN,1968,Not routinely administered
China,CHN,1969,Not routinely administered
China,CHN,1970,Not routinely administered
China,CHN,1971,Not routinely administered
China,CHN,1972,Not routinely administered
China,CHN,1973,Not routinely administered
China,CHN,1974,Not routinely administered
China,CHN,1975,Not routinely administered
China,CHN,1976,Not routinely administered
China,CHN,1977,Not routinely administered
China,CHN,1978,Not routinely administered
China,CHN,1979,Not routinely administered
China,CHN,1980,Not routinely administered
China,CHN,1981,Not routinely administered
China,CHN,1982,Not routinely administered
China,CHN,1983,Not routinely administered
China,CHN,1984,Not routinely administered
China,CHN,1985,Not routinely administered
China,CHN,1986,Not routinely administered
China,CHN,1987,Not routinely administered
China,CHN,1988,Not routinely administered
China,CHN,1989,Not routinely administered
China,CHN,1990,Not routinely administered
China,CHN,1991,Not routinely administered
China,CHN,1992,Not routinely administered
China,CHN,1993,Not routinely administered
China,CHN,1994,Not routinely administered
China,CHN,1995,Not routinely administered
China,CHN,1996,Not routinely administered
China,CHN,1997,Not routinely administered
China,CHN,1998,Not routinely administered
China,CHN,1999,Not routinely administered
China,CHN,2000,Not routinely administered
China,CHN,2001,Not routinely administered
China,CHN,2002,Not routinely administered
China,CHN,2003,Not routinely administered
China,CHN,2004,Not routinely administered
China,CHN,2005,Not routinely administered
China,CHN,2006,Not routinely administered
China,CHN,2007,Not routinely administered
China,CHN,2008,Not routinely administered
China,CHN,2009,Not routinely administered
China,CHN,2010,Not routinely administered
China,CHN,2011,Not routinely administered
China,CHN,2012,Not routinely administered
China,CHN,2013,Not routinely administered
China,CHN,2014,Not routinely administered
China,CHN,2015,Entire country
China,CHN,2016,Entire country
China,CHN,2017,Entire country
China,CHN,2018,Entire country
China,CHN,2019,Entire country
China,CHN,2020,Entire country
China,CHN,2021,Entire country
China,CHN,2022,Entire country
China,CHN,2023,Entire country
China,CHN,2024,Entire country
Colombia,COL,1955,Not routinely administered
Colombia,COL,1956,Not routinely administered
Colombia,COL,1957,Not routinely administered
Colombia,COL,1958,Not routinely administered
Colombia,COL,1959,Not routinely administered
Colombia,COL,1960,Not routinely administered
Colombia,COL,1961,Not routinely administered
Colombia,COL,1962,Not routinely administered
Colombia,COL,1963,Not routinely administered
Colombia,COL,1964,Not routinely administered
Colombia,COL,1965,Not routinely administered
Colombia,COL,1966,Not routinely administered
Colombia,COL,1967,Not routinely administered
Colombia,COL,1968,Not routinely administered
Colombia,COL,1969,Not routinely administered
Colombia,COL,1970,Not routinely administered
Colombia,COL,1971,Not routinely administered
Colombia,COL,1972,Not routinely administered
Colombia,COL,1973,Not routinely administered
Colombia,COL,1974,Not routinely administered
Colombia,COL,1975,Not routinely administered
Colombia,COL,1976,Not routinely administered
Colombia,COL,1977,Not routinely administered
Colombia,COL,1978,Not routinely administered
Colombia,COL,1979,Not routinely administered
Colombia,COL,1980,Not routinely administered
Colombia,COL,1981,Not routinely administered
Colombia,COL,1982,Not routinely administered
Colombia,COL,1983,Not routinely administered
Colombia,COL,1984,Not routinely administered
Colombia,COL,1985,Not routinely administered
Colombia,COL,1986,Not routinely administered
Colombia,COL,1987,Not routinely administered
Colombia,COL,1988,Not routinely administered
Colombia,COL,1989,Not routinely administered
Colombia,COL,1990,Not routinely administered
Colombia,COL,1991,Not routinely administered
Colombia,COL,1992,Not routinely administered
Colombia,COL,1993,Not routinely administered
Colombia,COL,1994,Not routinely administered
Colombia,COL,1995,Not routinely administered
Colombia,COL,1996,Not routinely administered
Colombia,COL,1997,Not routinely administered
Colombia,COL,1998,Not routinely administered
Colombia,COL,1999,Not routinely administered
Colombia,COL,2000,Not routinely administered
Colombia,COL,2001,Not routinely administered
Colombia,COL,2002,Not routinely administered
Colombia,COL,2003,Not routinely administered
Colombia,COL,2004,Not routinely administered
Colombia,COL,2005,Not routinely administered
Colombia,COL,2006,Not routinely administered
Colombia,COL,2007,Not routinely administered
Colombia,COL,2008,Not routinely administered
Colombia,COL,2009,Not routinely administered
Colombia,COL,2010,Not routinely administered
Colombia,COL,2011,Not routinely administered
Colombia,COL,2012,Not routinely administered
Colombia,COL,2013,Not routinely administered
Colombia,COL,2014,Not routinely administered
Colombia,COL,2015,Entire country
Colombia,COL,2016,Entire country
Colombia,COL,2017,Entire country
Colombia,COL,2018,Entire country
Colombia,COL,2019,Entire country
Colombia,COL,2020,Entire country
Colombia,COL,2021,Entire country
Colombia,COL,2022,Entire country
Colombia,COL,2023,Entire country
Colombia,COL,2024,Entire country
Comoros,COM,1955,Not routinely administered
Comoros,COM,1956,Not routinely administered
Comoros,COM,1957,Not routinely administered
Comoros,COM,1958,Not routinely administered
Comoros,COM,1959,Not routinely administered
Comoros,COM,1960,Not routinely administered
Comoros,COM,1961,Not routinely administered
Comoros,COM,1962,Not routinely administered
Comoros,COM,1963,Not routinely administered
Comoros,COM,1964,Not routinely administered
Comoros,COM,1965,Not routinely administered
Comoros,COM,1966,Not routinely administered
Comoros,COM,1967,Not routinely administered
Comoros,COM,1968,Not routinely administered
Comoros,COM,1969,Not routinely administered
Comoros,COM,1970,Not routinely administered
Comoros,COM,1971,Not routinely administered
Comoros,COM,1972,Not routinely administered
Comoros,COM,1973,Not routinely administered
Comoros,COM,1974,Not routinely administered
Comoros,COM,1975,Not routinely administered
Comoros,COM,1976,Not routinely administered
Comoros,COM,1977,Not routinely administered
Comoros,COM,1978,Not routinely administered
Comoros,COM,1979,Not routinely administered
Comoros,COM,1980,Not routinely administered
Comoros,COM,1981,Not routinely administered
Comoros,COM,1982,Not routinely administered
Comoros,COM,1983,Not routinely administered
Comoros,COM,1984,Not routinely administered
Comoros,COM,1985,Not routinely administered
Comoros,COM,1986,Not routinely administered
Comoros,COM,1987,Not routinely administered
Comoros,COM,1988,Not routinely administered
Comoros,COM,1989,Not routinely administered
Comoros,COM,1990,Not routinely administered
Comoros,COM,1991,Not routinely administered
Comoros,COM,1992,Not routinely administered
Comoros,COM,1993,Not routinely administered
Comoros,COM,1994,Not routinely administered
Comoros,COM,1995,Not routinely administered
Comoros,COM,1996,Not routinely administered
Comoros,COM,1997,Not routinely administered
Comoros,COM,1998,Not routinely administered
Comoros,COM,1999,Not routinely administered
Comoros,COM,2000,Not routinely administered
Comoros,COM,2001,Not routinely administered
Comoros,COM,2002,Not routinely administered
Comoros,COM,2003,Not routinely administered
Comoros,COM,2004,Not routinely administered
Comoros,COM,2005,Not routinely administered
Comoros,COM,2006,Not routinely administered
Comoros,COM,2007,Not routinely administered
Comoros,COM,2008,Not routinely administered
Comoros,COM,2009,Not routinely administered
Comoros,COM,2010,Not routinely administered
Comoros,COM,2011,Not routinely administered
Comoros,COM,2012,Not routinely administered
Comoros,COM,2013,Not routinely administered
Comoros,COM,2014,Not routinely administered
Comoros,COM,2015,Entire country
Comoros,COM,2016,Entire country
Comoros,COM,2017,Entire country
Comoros,COM,2018,Entire country
Comoros,COM,2019,Entire country
Comoros,COM,2020,Entire country
Comoros,COM,2021,Entire country
Comoros,COM,2022,Entire country
Comoros,COM,2023,Entire country
Comoros,COM,2024,Entire country
Congo,COG,1955,Not routinely administered
Congo,COG,1956,Not routinely administered
Congo,COG,1957,Not routinely administered
Congo,COG,1958,Not routinely administered
Congo,COG,1959,Not routinely administered
Congo,COG,1960,Not routinely administered
Congo,COG,1961,Not routinely administered
Congo,COG,1962,Not routinely administered
Congo,COG,1963,Not routinely administered
Congo,COG,1964,Not routinely administered
Congo,COG,1965,Not routinely administered
Congo,COG,1966,Not routinely administered
Congo,COG,1967,Not routinely administered
Congo,COG,1968,Not routinely administered
Congo,COG,1969,Not routinely administered
Congo,COG,1970,Not routinely administered
Congo,COG,1971,Not routinely administered
Congo,COG,1972,Not routinely administered
Congo,COG,1973,Not routinely administered
Congo,COG,1974,Not routinely administered
Congo,COG,1975,Not routinely administered
Congo,COG,1976,Not routinely administered
Congo,COG,1977,Not routinely administered
Congo,COG,1978,Not routinely administered
Congo,COG,1979,Not routinely administered
Congo,COG,1980,Not routinely administered
Congo,COG,1981,Not routinely administered
Congo,COG,1982,Not routinely administered
Congo,COG,1983,Not routinely administered
Congo,COG,1984,Not routinely administered
Congo,COG,1985,Not routinely administered
Congo,COG,1986,Not routinely administered
Congo,COG,1987,Not routinely administered
Congo,COG,1988,Not routinely administered
Congo,COG,1989,Not routinely administered
Congo,COG,1990,Not routinely administered
Congo,COG,1991,Not routinely administered
Congo,COG,1992,Not routinely administered
Congo,COG,1993,Not routinely administered
Congo,COG,1994,Not routinely administered
Congo,COG,1995,Not routinely administered
Congo,COG,1996,Not routinely administered
Congo,COG,1997,Not routinely administered
Congo,COG,1998,Not routinely administered
Congo,COG,1999,Not routinely administered
Congo,COG,2000,Not routinely administered
Congo,COG,2001,Not routinely administered
Congo,COG,2002,Not routinely administered
Congo,COG,2003,Not routinely administered
Congo,COG,2004,Not routinely administered
Congo,COG,2005,Not routinely administered
Congo,COG,2006,Not routinely administered
