medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Gold Medal,1,2024-07-28,KANO Koki,JPN,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1896548
Silver Medal,2,2024-07-28,Yannick BOREL,FRA,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1916194
Bronze Medal,3,2024-07-28,Mohamed ELSAYED,EGY,M,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,1936462
Gold Medal,1,2024-07-28,Lee KIEFER,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950611
Silver Medal,2,2024-07-28,Lauren SCRUGGS,USA,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1950643
Bronze Medal,3,2024-07-28,Eleanor HARVEY,CAN,W,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1973213
Gold Medal,1,2024-07-28,ABE Hifumi,JPN,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1896763
Silver Medal,2,2024-07-28,Willian LIMA,BRA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1953840
Bronze Medal,3,2024-07-28,Gusman KYRGYZBAYEV,KAZ,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1935410
Bronze Medal,3,2024-07-28,Denis VIERU,MDA,M,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1561138
Gold Medal,1,2024-07-28,Diyora KELDIYOROVA,UZB,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1566997
Silver Medal,2,2024-07-28,Distria KRASNIQI,KOS,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1550162
Bronze Medal,3,2024-07-28,Larissa PIMENTA,BRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1953817
Bronze Medal,3,2024-07-28,Amandine BUCHARD,FRA,W,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1891283
Gold Medal,1,2024-07-28,XIE Yu,CHN,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1913907
Silver Medal,2,2024-07-28,Federico Nilo MALDINI,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551388
Bronze Medal,3,2024-07-28,Paolo MONNA,ITA,M,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1551387
Gold Medal,1,2024-07-28,OH Ye Jin,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893972
Silver Medal,2,2024-07-28,KIM Yeji,KOR,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1893930
Bronze Medal,3,2024-07-28,Manu BHAKER,IND,W,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1538159
Gold Medal,1,2024-07-28,YOSHIZAWA Coco,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902055
Silver Medal,2,2024-07-28,AKAMA Liz,JPN,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1902069
Bronze Medal,3,2024-07-28,Rayssa LEAL,BRA,W,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,1955689
Gold Medal,1,2024-07-28,Nicolo MARTINENGHI,ITA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1925633
Silver Medal,2,2024-07-28,Adam PEATY,GBR,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1956469
Silver Medal,2,2024-07-28,Nic FINK,USA,M,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1935901
Gold Medal,1,2024-07-28,Leon MARCHAND,FRA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1909294
Silver Medal,2,2024-07-28,MATSUSHITA Tomoyuki,JPN,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1963635
Bronze Medal,3,2024-07-28,Carson FOSTER,USA,M,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,1935903
Gold Medal,1,2024-07-28,Torri HUSKE,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935923
Silver Medal,2,2024-07-28,Gretchen WALSH,USA,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1935998
Bronze Medal,3,2024-07-28,ZHANG Yufei,CHN,W,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1945125
Gold Medal,1,2024-07-29,Korea,KOR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---KOR01
Silver Medal,2,2024-07-29,France,FRA,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000100--,ARCMTEAM3---FRA01
Bronze Medal,3,2024-07-29,Türkiye,TUR,M,Archery,Men's Team,HTEAM,/en/paris-2024/results/archery/men-s-team/fnl-000200--,ARCMTEAM3---TUR01
Gold Medal,1,2024-07-29,Japan,JPN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----JPN01
Silver Medal,2,2024-07-29,China,CHN,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----CHN01
Bronze Medal,3,2024-07-29,United States,USA,M,Artistic Gymnastics,Men's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--,GARMTEAM----USA01
Gold Medal,1,2024-07-29,Nicolas GESTIN,FRA,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1880479
Silver Medal,2,2024-07-29,Adam BURGESS,GBR,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1896030
Bronze Medal,3,2024-07-29,Matej BENUS,SVK,M,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1961080
Gold Medal,1,2024-07-29,Thomas PIDCOCK,GBR,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1912546
Silver Medal,2,2024-07-29,Victor KORETZKY,FRA,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1895687
Bronze Medal,3,2024-07-29,Alan HATHERLY,RSA,M,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1943604
Gold Medal,1,2024-07-29,China,CHN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CHN01
Silver Medal,2,2024-07-29,Great Britain,GBR,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2GBR01
Bronze Medal,3,2024-07-29,Canada,CAN,M,Diving,Men's Synchronised 10m Platform,TEAM,/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--,DIVM10MTEAM2CAN01
Gold Medal,1,2024-07-29,Michael JUNG,GER,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1914921
Silver Medal,2,2024-07-29,Christopher BURTON,AUS,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1940438
Bronze Medal,3,2024-07-29,Laura COLLETT,GBR,O,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1970898
Gold Medal,1,2024-07-29,Great Britain,GBR,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMGBR01
Silver Medal,2,2024-07-29,France,FRA,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMFRA01
Bronze Medal,3,2024-07-29,Japan,JPN,O,Equestrian,Eventing Team,TEAM,/en/paris-2024/results/equestrian/eventing/jump000100--,EQUOEVENTEAMJPN01
Gold Medal,1,2024-07-29,CHEUNG Ka Long,HKG,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1963245
Silver Medal,2,2024-07-29,Filippo MACCHI,ITA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1924289
Bronze Medal,3,2024-07-29,Nick ITKIN,USA,M,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1950602
Gold Medal,1,2024-07-29,Manon APITHY-BRUNET,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916223
Silver Medal,2,2024-07-29,Sara BALZER,FRA,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1916222
Bronze Medal,3,2024-07-29,Olga KHARLAN,UKR,W,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1897644
Gold Medal,1,2024-07-29,Hidayat HEYDAROV,AZE,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1972337
Silver Medal,2,2024-07-29,Joan-Benjamin GABA,FRA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1891311
Bronze Medal,3,2024-07-29,Adil OSMANOV,MDA,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,1563437
Bronze Medal,3,2024-07-29,HASHIMOTO Soichi,JPN,M,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1896740
Gold Medal,1,2024-07-29,Christa DEGUCHI,CAN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1955526
Silver Medal,2,2024-07-29,HUH Mimi,KOR,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1928067
Bronze Medal,3,2024-07-29,FUNAKUBO Haruka,JPN,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1896733
Bronze Medal,3,2024-07-29,Sarah Leonie CYSIQUE,FRA,W,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1891286
Gold Medal,1,2024-07-29,SHENG Lihao,CHN,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1913899
Silver Medal,2,2024-07-29,Victor LINDGREN,SWE,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1572919
Bronze Medal,3,2024-07-29,Miran MARICIC,CRO,M,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1888047
Gold Medal,1,2024-07-29,BAN Hyojin,KOR,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1893845
Silver Medal,2,2024-07-29,HUANG Yuting,CHN,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1913945
Bronze Medal,3,2024-07-29,Audrey GOGNIAT,SUI,W,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,1976545
Gold Medal,1,2024-07-29,HORIGOME Yuto,JPN,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1902081
Silver Medal,2,2024-07-29,Jagger EATON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944226
Bronze Medal,3,2024-07-29,Nyjah HUSTON,USA,M,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1944232
Gold Medal,1,2024-07-29,Thomas CECCON,ITA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1925635
Silver Medal,2,2024-07-29,XU Jiayu,CHN,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1945132
Bronze Medal,3,2024-07-29,Ryan MURPHY,USA,M,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1935957
Gold Medal,1,2024-07-29,David POPOVICI,ROU,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1543549
Silver Medal,2,2024-07-29,Matthew RICHARDS,GBR,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1903617
Bronze Medal,3,2024-07-29,Luke HOBSON,USA,M,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,1935918
Gold Medal,1,2024-07-29,Tatjana SMITH,RSA,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1962589
Silver Medal,2,2024-07-29,TANG Qianting,CHN,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1945200
Bronze Medal,3,2024-07-29,Mona Mc SHARRY,IRL,W,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1543304
Gold Medal,1,2024-07-29,Mollie O'CALLAGHAN,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946218
Silver Medal,2,2024-07-29,Ariarne TITMUS,AUS,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1946150
Bronze Medal,3,2024-07-29,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1925125
Gold Medal,1,2024-07-29,Summer McINTOSH,CAN,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1967140
Silver Medal,2,2024-07-29,Katie GRIMES,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1935909
Bronze Medal,3,2024-07-29,Emma WEYANT,USA,W,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,1936001
Gold Medal,1,2024-07-30,United States,USA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----USA01
Silver Medal,2,2024-07-30,Italy,ITA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----ITA01
Bronze Medal,3,2024-07-30,Brazil,BRA,W,Artistic Gymnastics,Women's Team,TEAM,/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--,GARWTEAM----BRA01
Gold Medal,1,2024-07-30,Italy,ITA,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEITA01
Silver Medal,2,2024-07-30,France,FRA,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--,FENWTEAMEPEEFRA01
Bronze Medal,3,2024-07-30,Poland,POL,W,Fencing,Women's Épée Team,HTEAM,/en/paris-2024/results/fencing/women-s-epee-team/fnl-000200--,FENWTEAMEPEEPOL01
Gold Medal,1,2024-07-30,NAGASE Takanori,JPN,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1896765
Silver Medal,2,2024-07-30,Tato GRIGALASHVILI,GEO,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1546651
Bronze Medal,3,2024-07-30,LEE Joonhwan,KOR,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000100--,1928079
Bronze Medal,3,2024-07-30,Somon MAKHMADBEKOV,TJK,M,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000200--,1570561
Gold Medal,1,2024-07-30,Andreja LESKI,SLO,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1980833
Silver Medal,2,2024-07-30,Prisca AWITI ALCARAZ,MEX,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1537287
Bronze Medal,3,2024-07-30,Clarisse AGBEGNENOU,FRA,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000100--,1891289
Bronze Medal,3,2024-07-30,Laura FAZLIU,KOS,W,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000200--,1550167
Gold Medal,1,2024-07-30,New Zealand,NZL,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---NZL01
Silver Medal,2,2024-07-30,Canada,CAN,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000100--,RU7WTEAM7---CAN01
Bronze Medal,3,2024-07-30,United States,USA,W,Rugby Sevens,Women,HTEAM,/en/paris-2024/results/rugby-sevens/women/fnl-000200--,RU7WTEAM7---USA01
Gold Medal,1,2024-07-30,Serbia,SRB,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----SRB01
Silver Medal,2,2024-07-30,Türkiye 2,TUR,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--,SHOXAPMT----TUR02
Bronze Medal,3,2024-07-30,India 1,IND,X,Shooting,10m Air Pistol Mixed Team,HTEAM,/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000200--,SHOXAPMT----IND01
Gold Medal,1,2024-07-30,Nathan HALES,GBR,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1904430
Silver Medal,2,2024-07-30,QI Ying,CHN,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1913928
Bronze Medal,3,2024-07-30,Jean Pierre BROL CARDENAS,GUA,M,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1958970
Gold Medal,1,2024-07-30,Great Britain,GBR,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRGBR01
Silver Medal,2,2024-07-30,United States,USA,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRUSA01
Bronze Medal,3,2024-07-30,Australia,AUS,M,Swimming,Men's 4 x 200m Freestyle Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--,SWMM4X200MFRAUS01
Gold Medal,1,2024-07-30,Daniel WIFFEN,IRL,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1539969
Silver Medal,2,2024-07-30,Bobby FINKE,USA,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1935902
Bronze Medal,3,2024-07-30,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1925630
Gold Medal,1,2024-07-30,Kaylee McKEOWN,AUS,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1946198
Silver Medal,2,2024-07-30,Regan SMITH,USA,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935984
Bronze Medal,3,2024-07-30,Katharine BERKOFF,USA,W,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,1935873
Gold Medal,1,2024-07-30,WANG/SUN,CHN,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-CHN01
Silver Medal,2,2024-07-30,RI/KIM,PRK,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--,TTEXDOUBLES-PRK01
Bronze Medal,3,2024-07-30,LIM/SHIN,KOR,X,Table Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000200--,TTEXDOUBLES-KOR01
Gold Medal,1,2024-07-31,OKA Shinnosuke,JPN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1919480
Silver Medal,2,2024-07-31,ZHANG Boheng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918864
Bronze Medal,3,2024-07-31,XIAO Ruoteng,CHN,M,Artistic Gymnastics,Men's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--,1918860
Gold Medal,1,2024-07-31,Jessica FOX,AUS,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1940205
Silver Medal,2,2024-07-31,Elena LILIK,GER,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1913770
Bronze Medal,3,2024-07-31,Evy LEIBFARTH,USA,W,Canoe Slalom,Women's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-canoe-single/fnl-000100--,1955132
Gold Medal,1,2024-07-31,Jose TORRES GIL,ARG,M,Cycling BMX Freestyle,Men's Park,ATH,/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--,1916809
